name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	0	1	0	0.0
Azorhizobium caulinodans	7	species	5369772	2	0	0.0
Myxococcus fulvus	33	species	10026214	2	1	0.0
Archangium gephyra	48	species	12489432	1	0	0.0
Polyangiaceae	49	family	0	2	0	0.0
Chondromyces crocatus	52	species	11388132	2	0	0.0
Sorangium cellulosum	56	species	13907952	4	2	0.0
Caulobacter	75	genus	0	1	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Methylocystis	133	genus	0	1	0	0.0
Azospirillum	191	genus	0	3	0	0.0
Azospirillum brasilense	192	species	13978806	3	1	0.0
Azospirillum lipoferum	193	species	7223069	5	2	0.0
Achromobacter	222	genus	0	4	0	0.0
Brucella ovis	236	species	3275590	1	0	0.0
Paracoccus denitrificans	266	species	5236194	15	9	0.00558624
Thermus thermophilus	274	species	2214494	1	0	0.0
Xanthobacter	279	genus	0	1	0	0.0
Xanthobacter autotrophicus	280	species	5625098	2	1	0.0
Comamonas testosteroni	285	species	5695231	17	3	0.00513599
Pseudomonas	286	genus	0	12	4	0.0
Pseudomonas aeruginosa	287	species	22457305	47	21	0.00700386
Burkholderia cepacia	292	species	13365495	13	0	4.42521e-14
Pseudomonas fluorescens	294	species	14826544	140	57	2.07664e-15
Pseudomonas mendocina	300	species	5293211	218	185	0.0069588
Pseudomonas putida	303	species	6888188	36	2	0.0
Ralstonia solanacearum	305	species	11186335	9	4	0.0
Pseudomonas stutzeri	316	species	7755802	22	13	0.0
Pseudomonas syringae	317	species	6129101	5	2	0.0
Ralstonia pickettii	329	species	6378979	9	1	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	323	293	0.089331
Burkholderia glumae	337	species	7333967	2	1	0.0
Xanthomonas	338	genus	0	1	0	0.0
Xanthomonas campestris	339	species	7063896	13	12	0.0128131
Xanthomonas translucens	343	species	4638247	8	8	0.0
Xanthomonas citri	346	species	17318955	2	0	2.27353e-13
Xanthomonas oryzae	347	species	17545599	5	1	0.0
Azotobacter chroococcum	353	species	5192286	6	1	0.0
Azotobacter vinelandii	354	species	5351632	7	1	0.0
Rhizobiales	356	order	0	1	0	0.0
Agrobacterium	357	genus	0	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	358	50	0
Agrobacterium vitis	373	species	6320946	10	9	0.0
Bradyrhizobium	374	genus	0	2	0	0.0
Bradyrhizobium japonicum	375	species	9215796	22	8	0.0
Bradyrhizobium sp.	376	species	7547693	19	13	0.0
Rhizobium	379	genus	0	10	4	0.0
Sinorhizobium fredii	380	species	6891900	9	7	0.0
Mesorhizobium loti	381	species	7539018	7	6	0.0
Sinorhizobium meliloti	382	species	6962835	6	3	0.0
Rhizobium leguminosarum	384	species	7369497	27	19	0.0
Rhizobium phaseoli	396	species	87841097	8	3	0.0
Rhizobium tropici	398	species	6686334	2	2	0.0
Neorhizobium galegae	399	species	6434105	15	10	0.0
Methylobacterium	407	genus	0	3	0	0.0
Methylobacterium extorquens	408	species	6163878	2	1	0.0
Gluconobacter oxydans	442	species	3306867	2	2	0.0
Neisseria gonorrhoeae	485	species	4967431	1	0	0.0
Neisseria lactamica	486	species	2220606	4	1	0.0
Neisseria meningitidis	487	species	8508873	11	5	0.00343767
Neisseria elongata	495	species	2256647	7	1	0.0
Kingella kingae	504	species	2140065	4	0	0.0
Bordetella	517	genus	0	2	0	0.0
Bordetella bronchiseptica	518	species	6491145	6	3	0.0
Bordetella parapertussis	519	species	4815611	1	0	0.0
Bordetella pertussis	520	species	48698463	2	0	0.0
Ochrobactrum anthropi	529	species	5053471	9	3	0.0
Beijerinckia indica	533	species	4418616	1	1	0.0
Chromobacterium	535	genus	0	1	0	0.0
Chromobacterium violaceum	536	species	4751080	1	0	0.0
Enterobacteriaceae	543	family	0	2	0	0.0
Citrobacter freundii	546	species	16193243	1	0	0.0
Enterobacter	547	genus	0	1	0	0.0
Enterobacter cloacae	550	species	10083180	4	0	1.72396e-14
Escherichia coli	562	species	12319210	6	0	0.0
Klebsiella oxytoca	571	species	16779606	2	0	0.0
Klebsiella pneumoniae	573	species	15713353	2	2	0.0
Serratia marcescens	615	species	8465231	3	1	0.0
Shigella boydii	621	species	4698475	1	0	0.0
Shigella flexneri	623	species	4763519	1	0	0.0
Shigella sonnei	624	species	6798914	1	0	0.0
Aeromonas hydrophila	644	species	7739252	4	3	0.0
Aeromonas schubertii	652	species	4400034	1	1	0.0
Vibrio alginolyticus	663	species	8138835	1	0	0.0
